split,num_windows,positive_windows,best_epoch,best_val_loss,threshold,device,input_dim,hidden_dims,dropout,lr,weight_decay,batch_size,pos_weight,tp,fp,fn,tn,precision,recall,f1,accuracy
train,4392,2925,5,0.3574309840879805,0.3,cpu,24,64-32,0.1,0.001,0.0001,128,0.5015384615384615,2581,603,344,864,0.8106155778894473,0.8823931623931623,0.8449828122442298,0.7843806921675774
val,1464,975,5,0.3574309840879805,0.3,cpu,24,64-32,0.1,0.001,0.0001,128,0.5015384615384615,817,158,158,331,0.837948717948718,0.837948717948718,0.8379487179487181,0.7841530054644809
test,1464,975,5,0.3574309840879805,0.3,cpu,24,64-32,0.1,0.001,0.0001,128,0.5015384615384615,835,172,140,317,0.8291956305858987,0.8564102564102564,0.8425832492431887,0.7868852459016393
