split,num_windows,positive_windows,best_epoch,best_val_loss,threshold,device,input_dim,hidden_dims,dropout,lr,weight_decay,batch_size,pos_weight,tp,fp,fn,tn,precision,recall,f1,accuracy
train,4392,1365,14,0.28481471628113525,0.6,cpu,24,64-32,0.1,0.001,0.0001,128,2.2175824175824177,1211,257,154,2770,0.8249318801089919,0.8871794871794871,0.8549241087186729,0.9064207650273224
val,1464,341,14,0.28481471628113525,0.6,cpu,24,64-32,0.1,0.001,0.0001,128,2.2175824175824177,316,101,25,1022,0.7577937649880095,0.9266862170087976,0.8337730870712402,0.9139344262295082
test,1464,244,14,0.28481471628113525,0.6,cpu,24,64-32,0.1,0.001,0.0001,128,2.2175824175824177,232,46,12,1174,0.8345323741007195,0.9508196721311475,0.888888888888889,0.9603825136612022
