split,num_windows,positive_windows,best_epoch,best_val_loss,threshold,device,input_dim,hidden_dims,dropout,lr,weight_decay,batch_size,pos_weight,tp,fp,fn,tn,precision,recall,f1,accuracy
train,4392,2925,20,0.26595341691065355,0.1,cpu,24,64-32,0.1,0.001,0.0001,128,0.5015384615384615,2910,536,15,931,0.8444573418456182,0.9948717948717949,0.9135143619525977,0.8745446265938069
val,1464,975,20,0.26595341691065355,0.1,cpu,24,64-32,0.1,0.001,0.0001,128,0.5015384615384615,955,148,20,341,0.8658204895738894,0.9794871794871794,0.9191530317613089,0.8852459016393442
test,1464,975,20,0.26595341691065355,0.1,cpu,24,64-32,0.1,0.001,0.0001,128,0.5015384615384615,966,170,9,319,0.8503521126760564,0.9907692307692307,0.9152060634770252,0.8777322404371585
