config,meter,scope,n_scenarios,n_normal,n_onset,n_persistent,tp_total,fp_total,fn_total,tn_total,precision,recall,f1,normal_false_alert_rate,onset_valid_detection_rate,onset_clean_valid_detection_rate,persistent_detection_rate,persistent_valid_detection_rate,mean_delay_min_onset,median_delay_min_onset,mean_delay_min_persistent,median_delay_min_persistent,mean_fp_before_onset_onset,mean_fp_before_onset_persistent,max_score_mean,mean_score_mean
local_N2,N2,local,60,10,25,25,4815,111,635,3139,0.9774665042630938,0.8834862385321101,0.9281033153430994,0.0,1.0,0.84,1.0,1.0,153.6,120.0,100.4,100.0,4.44,0.0,304.23771095832836,154.26101277905292
local_N8_downstream_only,N8,local,60,10,25,25,1974,50,206,6470,0.9752964426877471,0.9055045871559633,0.9391056137012369,0.0,0.4,0.4,0.44,0.4,151.0,130.0,55.0,55.0,1.84,0.16,153.05938019634,73.23658185239965
local_N9_downstream_only,N9,local,60,10,25,25,1996,460,184,6060,0.8127035830618893,0.9155963302752294,0.8610871440897325,0.0,0.4,0.28,0.6,0.4,78.0,90.0,106.0,110.0,9.28,9.12,204.80949536503667,105.38481156524746
volume_multisensor,N2..N9,multisensor,60,10,25,25,4926,568,524,2682,0.896614488532945,0.9038532110091743,0.9002192982456141,0.5,1.0,0.44,1.0,1.0,120.4,90.0,82.8,90.0,17.84,0.0,391.03948072379336,208.41175866265073
