split,num_windows,positive_windows,best_epoch,best_val_loss,threshold,device,input_dim,hidden_dims,dropout,lr,weight_decay,batch_size,pos_weight,tp,fp,fn,tn,precision,recall,f1,accuracy
train,4392,1219,29,0.10164539841680578,0.75,cpu,24,64-32,0.1,0.001,0.0001,128,2.6029532403609514,1002,80,217,3093,0.9260628465804066,0.8219852337981952,0.8709256844850065,0.9323770491803278
val,1464,146,29,0.10164539841680578,0.75,cpu,24,64-32,0.1,0.001,0.0001,128,2.6029532403609514,145,23,1,1295,0.8630952380952381,0.9931506849315068,0.9235668789808917,0.9836065573770492
test,1464,585,29,0.10164539841680578,0.75,cpu,24,64-32,0.1,0.001,0.0001,128,2.6029532403609514,451,34,134,845,0.9298969072164949,0.770940170940171,0.8429906542056075,0.8852459016393442
