split,num_windows,positive_windows,best_epoch,best_val_loss,threshold,device,input_dim,hidden_dims,dropout,lr,weight_decay,batch_size,pos_weight,tp,fp,fn,tn,precision,recall,f1,accuracy
train,4392,2925,3,0.46518817239649635,0.05,cpu,24,64-32,0.1,0.001,0.0001,128,0.5015384615384615,2925,1467,0,0,0.6659836065573771,1.0,0.7995079950799509,0.6659836065573771
val,1464,975,3,0.46518817239649635,0.05,cpu,24,64-32,0.1,0.001,0.0001,128,0.5015384615384615,975,489,0,0,0.6659836065573771,1.0,0.7995079950799509,0.6659836065573771
test,1464,975,3,0.46518817239649635,0.05,cpu,24,64-32,0.1,0.001,0.0001,128,0.5015384615384615,975,489,0,0,0.6659836065573771,1.0,0.7995079950799509,0.6659836065573771
